,Velocity_Si,Velocity_Si_PVal,Velocity_STi,Velocity_STi_PVal,Velocity_SCi,Velocity_Si_CoEff_of_Var,Velocity_STi_CoEff_of_Var,Velocity_Si_ErrorBar,Velocity_STi_ErrorBar,Displacement_Si,Displacement_Si_PVal,Displacement_STi,Displacement_STi_PVal,Displacement_SCi,Displacement_Si_CoEff_of_Var,Displacement_STi_CoEff_of_Var,Displacement_Si_ErrorBar,Displacement_STi_ErrorBar
stableBindProbability,0.0709568748465884,0.0707435693999518,0.150275171365733,0.108640742554891,0.849724828634267,62.4967532841607,68.4088138962112,0.0271758896348431,0.0630775808994246,0.0778737646579389,0.047323254707159,0.254898438350449,0.155043921950149,0.745101561649551,29.6064486401876,33.1401797099692,0.0129608789998151,0.0469710439114976
chemokineExpressionThreshold,0.0131002140523222,0.458086808347622,0.0856258246440837,0.229969831310426,0.914374175355916,56.1886600286869,86.6404314347736,0.0045088679066346,0.0472154102772052,0.0986170401397691,0.0259715309436335,0.19879165147043,0.239828669956051,0.80120834852957,35.4331606344836,41.2101464590221,0.0209030056833218,0.0503391168190734
initialChemokineExpressionValue,0.00326237768504793,0.847057645574917,0.0514782485438599,0.424850104778891,0.94852175145614,61.6458263567325,77.7539229866744,0.00124972123007179,0.0254759870821003,0.00480346934470547,0.793114263078637,0.0585580434438167,0.585957549497026,0.941441956556183,94.8999985863572,128.91598487719,0.00408698769886522,0.0852714595994588
maxChemokineExpressionValue,0.0220791611336383,0.240890896723513,0.05564603473158,0.400890998942739,0.94435396526842,79.6375762333477,61.1544949126127,0.0105192734044861,0.0204931644091182,0.307155232244374,0.0448391842957899,0.413912454551812,0.0436526929742624,0.586087545448188,52.7714258348808,41.5542589106652,0.102608015291433,0.106804324463235
maxProbabilityOfAdhesion,0.817519280028878,0.00375437172421159,0.896324564616522,9.65308304267895e-05,0.103675435383478,15.2842888727516,7.3783492071005,0.0720347295229719,0.0381656121891353,0.396903616231181,0.039805858346873,0.470913465866312,0.043159168240189,0.529086534133688,50.0039673969185,45.2547581981809,0.134339604222114,0.141776379714588
adhesionFactorExpressionSlope,0.0121600863553537,0,0.047272024151268,0,0.952727975848732,92.8943707149024,78.0994423300239,0.00695125266339194,0.022489397404323,0.0184601406957675,0,0.108212088105164,0,0.891787911894836,120.240196392183,91.2767348372167,0.0180127927887421,0.074198329406714
