quantity_distanceToBeacon,quantity_efficiency,omega_distanceToBeacon,omega_efficiency,cool_off_period_distanceToBeacon,cool_off_period_efficiency,shadowed_avoidance_radius_distanceToBeacon,shadowed_avoidance_radius_efficiency,illuminated_avoidance_radius_distanceToBeacon,illuminated_avoidance_radius_efficiency,dummy_distanceToBeacon,dummy_efficiency
1.57761018321975,0.031599602746479,2.16569596042648,0.0299612691692377,-0.0329285885481267,0.574029296754867,0.15793933951003,0.693721930851143,0.147466333121206,0.19616899344068,0.815825506144676,0.0722509313648313
1.15575975906562,0.0247382088504937,1.95507528052863,0.0472124194397268,-0.0329177580088543,0.573767109744757,-0.0715665063318636,0.855229162935537,0.32168090575285,0.0427898553746489,0.671235716184354,0.0665761112367424
0.886380932094442,0.0386630159085963,1.73976141623993,0.0476754749717301,-0.0222854406878624,0.579364440230859,-0.0746461327432075,0.869370387367482,0.273405117354298,0.0937996539856545,0.539489074916024,0.0581835887627876
0.776151589424389,0.0391302593722985,1.55556105082036,0.0613329279676149,-0.000313772432586522,0.553673565900876,0.0178659687633554,0.753976410893278,0.312717136837967,0.154518198419494,0.432247038904252,0.0585469150313426
0.691125724246809,0.0573796110337329,1.37875562095506,0.07086381556988,0.026527910631473,0.483101833026062,0.250608562023657,0.346373472223674,0.480290655454101,0.215528515977303,0.345454684552349,0.0651268082684225
0.513870873273938,0.0836567159570198,1.20224121132905,0.0787288226800799,0.0613901785139215,0.38098950047335,0.654282960611796,0.0562259522280745,1.11867712657101,0.286938335588585,0.275936152712266,0.0685666774064434
0.316206332730403,0.105031603458734,1.03205101269797,0.111757452923499,0.0669170849701703,0.35858776567631,0.681319425325499,0.0324077634306356,1.02567554363214,0.183942075309585,0.210452503742933,0.0831935254596331
0.21909054564086,0.0877130067877301,0.842823344403112,0.156373526420876,0.0807918722831824,0.316680125781751,0.163977412393241,0.284715141824997,1.12198699011416,0.0607859827196115,0.16476995002802,0.110489946765129
0.435933030711705,0.0236614483513763,0.661026509787386,0.207908752652209,0.102649415807924,0.279462364730223,-0.0037646268284722,0.693101267060633,0.849737896815616,0.00518096760241325,0.125644839479739,0.159090256418249
0.345664811730259,0.0388670533779431,0.498538202948271,0.249129970992394,0.13685160929403,0.209348503860057,-0.010430114375122,0.827648527003096,0.658999719928683,0.0929063397501116,0.093390576217987,0.202497854340688
0.102754542587582,0.201620446604335,0.359276751934882,0.294715303498218,0.196921425881995,0.148235866236869,-0.00198260254710946,0.792546738401035,0.491955522143887,0.0526343891896286,0.0679759888232715,0.237507581032017
0.0825247987042549,0.275700160384631,0.258601179634191,0.348319264058675,0.284514752008232,0.118474891158646,0.00791695116831296,0.707577057117029,0.404356406684325,0.0614129097903377,0.0459152406833263,0.28261693901533
0.0947360153469283,0.299606831563132,0.175336124773898,0.420296674459767,0.399382784922026,0.098568100264783,0.0479462740286916,0.398149018922171,0.285087128968767,0.185909158107598,0.0285045199697586,0.329885615164961
0.0895011235491122,0.337147475610425,0.113646108059936,0.46715381356413,0.507447041699342,0.0654086981507375,0.149649209189406,0.148383332128849,0.447099194663586,0.309942315413146,0.0137299178116062,0.352804844873027
0.0699901830642403,0.368898916038712,0.0698724347838678,0.519898241457352,0.580097830006442,0.0619967760540587,0.217893157870132,0.107921393121451,0.203716789299278,0.309288242353806,-0.000695872833092655,0.434207628216012
0.110291536859416,0.292135668544601,0.0343271087818528,0.591122679764021,0.674133368121854,0.0347492851936691,0.0987653258620474,0.24619685086689,0.0513965440667812,0.309649272120253,-0.0114759418970309,0.498033320162092
0.407727023109003,0.042211749085669,0.0106462474405517,0.699815182776379,0.786511717172769,0.0294513502161613,0.0589945867650422,0.429765257076253,0.0677999221691156,0.334524455331526,-0.0116828069920721,0.5537322804737
0.492796166951801,0.0163703975698099,0.00723470315236769,0.73119195234219,0.935903184601681,0.056993792643139,0.0330699029469865,0.483365396512191,0.11706875059543,0.22157960547545,-0.021067836407864,0.578568638231145
0.140738790746415,0.219875758919037,0.0142646050984583,0.764712788115069,0.777591628794303,0.0106939931599639,0.0321801459116008,0.394476973704988,0.076609230556682,0.314378910422089,-0.0285131954555387,0.623170575197174
0.0611288239427361,0.421287042100559,0.0203533756832146,0.788369960873461,0.616642116327763,0.00894975490005461,0.0627910037315517,0.357418543365246,-0.00919973537297708,0.457307578610913,-0.03399618822023,0.649766491209042
0.0492146951959991,0.561821352341773,0.0260639582091317,0.816409119535629,0.492317749670414,0.0200396263955225,0.111531170831407,0.241426401245618,0.0169428083366331,0.482618700967322,-0.0375886035829125,0.668692484333953
0.051024740464422,0.544562455188685,0.0339680491224506,0.776861686701696,0.395314489625766,0.0242436631821695,0.181431965476512,0.141631655789886,0.596420672960811,0.506431112426507,-0.0403156942731127,0.674669370557813
0.040734639933382,0.460161095731564,0.0387430008081046,0.704946556672936,0.289514511548183,0.0714853443490757,0.249500779388626,0.121474974598279,0.540457071383177,0.511066219979785,-0.0407234025085286,0.685976050399372
0.0791887573056665,0.298436399314483,0.0384449667407078,0.671116049302369,0.199483090377951,0.121996584000828,0.19667432234725,0.138388674853499,0.0600743482985398,0.518783317682114,-0.0400968124328778,0.705475151242332
0.308127674986779,0.0547789073750426,0.0284390286347528,0.720757294630865,0.140305732992507,0.18178180625144,0.152098500986273,0.195510641873765,-0.00641657095364111,0.558850721970201,-0.0341664841132353,0.672555943852519
